experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8312	20220512 063018	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.107204647987816	0.618058209987415	869	7431	130	0.0572107918603309	11684	14476000	34
HT8312	20220512 063121	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.128265775911091	0.421649397614099	85	1924	63	0.048212088526824	12198	14322000	35
HT8312	20220512 063212	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.130503738860144	0.410527204289034	129	6530	73	0.0611537836664535	10682	14518000	36
HT8312	20220512 063313	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.136284998183321	0.449917027336682	825	7566	123	0.0921500910200545	8072	13288000	37
HT8312	20220512 063417	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.114701488092841	0.405445196550075	28	4739	151	0.0377725928079361	13744	14816000	38
HT8312	20220512 063532	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.14064510657243	0.401706777929697	21	4666	300	0.0511332953789852	10744	13496000	39
HT8312	20220512 063644	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.112513717999994	0.415708779258662	145	5938	195	0.0469174715382626	12340	14420000	40
HT8312	20220512 063806	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0991813887207466	0.573733791279014	311	1518	48	0.0844860610541048	8766	13794000	41
HT8312	20220512 063908	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.105734691979717	0.406708770194826	120	5246	134	0.0627499401137916	10196	13924000	42
HT8312	20220512 064400	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0612441381099075	0.969354339546012	684	25	192	0.00183747645910438	9134	13546000	43
