Feature	Gain	Cover	Frequency
mv_Fvencimiento	0.00301587609019236	0.0034931202869972	0.00423899491704229
numero_de_cliente	0.00284183389234599	0.00446047079569301	0.005102138678431
varnueva_08	0.00268146130324155	0.00293699475259305	0.00308813656852402
mpayroll_lag1	0.00266850989958029	0.00112457945423045	0.00076723889901218
mcuentas_saldo_tend6	0.00264560918923725	0.00210760847231904	0.00364438477030785
mcaja_ahorro	0.0026361364781447	0.00375628464763072	0.00736549343051693
varnueva_02_tend6	0.00257706729118956	0.00139807132856865	0.00247434544931428
ctrx_quarter_delta1	0.0025474148606689	0.00259120107965721	0.00345257504555481
mactivos_margen	0.00254521734403502	0.002725494152683	0.00429653783446821
ctrx_quarter_tend6	0.00252834359033431	0.00222077895176905	0.00375947060515968
varnueva_07_delta1	0.00250853853574462	0.00235606839024411	0.00402800421981395
mcomisiones_mantenimiento_tend6	0.0024712302716241	0.00632032016841364	0.00303059365109811
Visa_Fvencimiento	0.0024588571520613	0.00369352813622163	0.00448834755922125
mv_Fvencimiento_avg6	0.00244060477350048	0.00248726618232716	0.00433489977941882
Visa_Fvencimiento_avg6	0.0024077868478511	0.00270644145081142	0.0038553754675362
Master_Fvencimiento_avg6	0.00240739216332305	0.00271134576330343	0.00414309005466577
mrentabilidad_annual_avg6	0.00238196368470886	0.00259849135999772	0.00389373741248681
varnueva_05_tend6	0.00236114464947094	0.000484321741556818	0.00105495348614175
mrentabilidad_lag1	0.00227459830710315	0.00271714025664977	0.0042773568619929
mcomisiones	0.00221702774834198	0.00207759893604338	0.00314567948594994
mrentabilidad	0.00218610317647543	0.00328593148953935	0.0029922317061475
mpayroll	0.00217580763961909	0.00167824610736424	0.00115085834851827
cliente_edad_avg6	0.00216154216250049	0.00322649678620891	0.00418145199961638
mrentabilidad_annual_delta1	0.00215925053715444	0.0024967431574263	0.00368274671525846
ccomisiones_otras_avg6	0.00214528742606338	0.00334824485723885	0.00448834755922125
chomebanking_trx_avg6	0.00213311803778	0.00198780428727395	0.00420063297209169
Visa_msaldototal_tend6	0.00211327664167742	0.000741556400459771	0.0012851251558454
cliente_antiguedad_avg6	0.00211025565426771	0.0025298515141312	0.00397046130238803
Master_fechaalta_avg6	0.00210587549491122	0.00337414540363866	0.00439244269684473
varnueva_08_tend6	0.00210289873441385	0.00231723420623095	0.00303059365109811
cproductos_tend6	0.00209483034004246	0.00485790309899818	0.00140021099069723
cprestamos_personales_tend6	0.00209110283797797	0.00287086298685921	0.000498705284357917
mcuenta_corriente_avg6	0.00208043773236989	0.00437437774190348	0.00375947060515968
mv_status01_tend6	0.00206759334370243	0.00503487211468237	0.00109331543109236
mcaja_ahorro_lag1	0.00205508416748468	0.00275522654716584	0.00360602282535725
varnueva_08_avg6	0.00205052344102291	0.00301232422794131	0.00414309005466577
mv_mpagominimo_lag1	0.00204766506391014	0.000920697245059302	0.00205236405485758
mrentabilidad_avg6	0.00204528564036295	0.00272978648795947	0.00283878392634507
mdescubierto_preacordado_avg6	0.0020400646135495	0.000979457322263176	0.000709695981586267
ctrx_quarter_normalizado_tend6	0.00203501990270844	0.00206476405010333	0.00329912726575237
mprestamos_personales_tend6	0.0020282191237458	0.00321891131269445	0.00122758223841949
Master_Fvencimiento	0.00201023084636437	0.00174429044778158	0.0038361944950609
Visa_fechaalta_lag1	0.00200997464408305	0.00180435376391412	0.00375947060515968
Master_fultimo_cierre_avg6	0.00198575334167752	0.00154811405466583	0.00251270739426489
varnueva_07_lag1	0.00198049136683879	0.00245155984253252	0.00364438477030785
mcomisiones_otras_tend6	0.00197710030227527	0.00224544209368906	0.00335667018317829
mv_fultimo_cierre_avg6	0.00197506762432334	0.00246349428310742	0.00368274671525846
mcuenta_corriente_lag1	0.00196625555760242	0.00311803771723675	0.0033950321281289
Visa_Fvencimiento_lag1	0.00194498682972827	0.00269608137383096	0.00326076532080176
mv_msaldopesos_avg6	0.00193616176517077	0.00175941148805087	0.00140021099069723
mcomisiones_tend6	0.00190717945676021	0.0014006381641772	0.00274287906396854
mdescubierto_preacordado_delta1	0.00190715245091434	0.00258194709220746	0.000230171669703654
varnueva_06_tend6	0.00188970594384274	0.00316256905871755	0.00122758223841949
ccomisiones_otras_tend6	0.0018873174107955	0.00339459266319056	0.00337585115565359
ctransferencias_recibidas_avg6	0.00186942684343896	0.00338544167479791	0.00479524311882612
mcomisiones_mantenimiento_avg6	0.00186732754408827	0.00247002994492649	0.00289632684377098
varnueva_03_lag1	0.00186388998786167	0.00239129194408038	0.00477606214635082
mcaja_ahorro_avg6	0.00186250014338619	0.0032450182111571	0.00498705284357917
varnueva_02_delta1	0.00184960283306098	0.00163323728915483	0.00395128032991273
varnueva_07_avg6	0.00184566823599078	0.00166295198620518	0.00222499280713532
varnueva_07_tend6	0.00182446327289555	0.00129966298545701	0.0025702503116908
mtransferencias_recibidas_avg6	0.00181992073256629	0.00306469517806715	0.0038361944950609
Visa_fechaalta	0.00181648348229626	0.00144137269849129	0.00335667018317829
